content,score
Alhamdulilah,5
jarang ngasih diskon goride,2
Iklan Mulu,1
tidak bisa mengintal grab tranpotasi,1
The Amazing Very Much For The New App Next Generation...,5
tepat waktu pengemudi ramah,5
good job sehat dan sukses,5
ok,4
sangat ramah dan menyenangkan👍👍👍,5
Mantap,5
Bagus,4
Saat ini grab pemesanan hanya jarak tidak lebih 3 - 5 km . Di kenakan biaya sangat mahal sekali . #Biaya di tanggung costumer sangat tidak wajar . 🙏,2
mantap,4
Mantap,5
Kecewa gak pernah dapet kode promo,1
"kok udah gk bisa pake qr lagi bayar nya? jujur kecewa bngt padahal dulu bisa skrng udah gk bisa, tolong di balikin lagi fitur pembayaran pake qr",2
mantappp,5
sangat memuaskan 😊,5
bisa memudahkan kita untuk ber belanja tanpa harus keluar rumah,5
sangat membantu banget,5
mantap,5
bagus,5
Padahal titik penjemputan gag ada acara apa apa kenapa jadi jalan di tutup 🤦‍♀️,1
sangat membantu,5
mudah dan nyaman,5
oke,5
"Aplikasi yg menurut saya sangat bagus apalagi banyak diskon , pokok nya suka dg APL grab ini semoga semakin sukses 👍",5
"Aku ga sukanya grab tuh kalo ga di update ga bisa buka apk nya. Nah kalo memori penuh jadi susah mau update. Jadi bintang 1 karna mempersulit, bukannya mempermudah",1
cepat dan terjangkau,5
👍🏻,4
sangat baik dan tepat waktu,5
.mantapp,5
Great Transportation 👍🙏,5
terbaik,5
Apk sampah,1
mantap,5
pokokny aman sampe tujuan,5
sangan baik,5
"diantar dgn selamat alhamdulilah ,terimakasih",5
"tiba² bngt suka batalin pesanan gra² kurir tidak ada di sekitar,kecewa polll,sudah nunggu lama² tba² di batalin",2
jemputan tepat waktu nyaman,5
sangat membantu,5
mantapp,5
baik ramah dan tepat waktu,5
bagus,5
"Ubah rute jadi lebih deket malah bayar jauh lebih mahal. Biaya pembatalan sampai 15.000 mahal bener, mana drivernya suka marah2 kalau gue pilih grabcar hemat. Kalau ga mau dibayar murah hapus aja fitur grabcar hemat nya! Resiko driver dong dpet orderan yg hemat, hak user pilih yg hemat juga! Mending aplikasi ijo sebelah ato kuning dah, ga ribet2 drivernya",1
trima ksh,5
Grab ongkos nya MAHAL SEKALI 😡😡😡,1
sangat kerennn bagus sekali🫰🏼🫰🏼🫰🏼,5
luar biasa,5
Bagus,5
mantap,5
Tolong buat ada fitur Dark mode. Biar g kalah dengan sebelah,5
Susah cari pengemudi dan tidak bisa di cencel pelayanan aplikasi buruk mohon di perbaiki lebih baik lagi,1
tepat waktu,5
"Gblk banget bjirr.., masa fitur ganti akun abis Log Out terus Login lagi nggak bisa! Harus Uninstall terus Install lagi!",1
Tolong di perbaiki jika aplikasi ini tidak ingin saya hancur kan dengan 99menit Kaka saya menaiki grab dan di saat sudah sampai tujuan yang pengantar grab nya malah minta tambahan 10rb Jika masalah ini tidak di selesaikan sekarang juga makan saya akan langsung ambil semua data data yang ada dalam apk ini sekian terimakasih 🤨🙏,1
memudahkan pjlanan kita,5
good,5
"Sangat Membantu ,Kerennn",5
good,5
Asik juga sih,4
Masa jarak cuma 600 meter tarif nya 23ribu.gojek saja cuma 10ribu.aplikaai grab tambah gila kasih tarifnya,1
"guys harap baca ya sbelum menggunakan aplikasi ini, jangan sekali² tergiur dengan embel² prioritas vip dll, karna sama sekali tidak ada keuntungan selain bayar lebih, sy pesan beberapa kali dng fitur prioritas stats VIP ttp lama di resto lah penjemputan, di cancel tidak bisa dan fitur bantuan di jawab sama AI",1
memudahkan,5
oke banget,5
SUSAH BANGET LOGINNYAAAAAA,2
"Good! Revisi: Aplikasi nya sangat susah mencari driver kalau lagi hujan. Sejam lebih nggk bisa dapat driver, akhirnya telat ke lokasi kerja. Sudah beberapa kali terjadi. Belum lagi harga yang tidak stabil. Pernah sekali harganya tiba-tiba melonjak tinggi.",5
sungguh membantu untuk segala aktifitas,5
"Saya pake aplikasi ini lebih dari 5tahun keseringan buat mesen grabfood,,selama ini gada masalah apa2 ..tapi tadi saya diomel2in sama driver karena mesen gak ngasih detail alamatnya katanya dia udh muter2 selama 2jam nyari rumah saya (saya mesen jam 12.17 dia nyampe jam 1.12 2jam darimana coba)yg saya pesen grabfood dan selalu saya cantumin note detail alamatnya gak tau knp diaplikasi driver berubah jd grab express pdhl ini diluar kendali sy karena saya hanya pembeli tp ttp ajh sy yg diomelin.",3
sangat membantu baik ramah,5
"tiba tiba bayar promo padahal ga berlangganan aneh, terus promonya ga bisa di kota saya udah gtu ga dapet pengembalian apapun bahkan diskon aja ga ada sama sekali gimna sih grab ga ada ganti rugi samsek gitu? mencet buat berlangganan aja engga",1
memuaskan i love,5
ramah,5
"saya pesan nya lama bangetttt,ga worth it untuk di download aplikasi scam",1
ok,5
good,5
sangat bermanfaat,5
baik,5
sangat membantu perjalanan kami dgn nyaman.. semangat terus untuk penyedia layanan jasa di bidang Grab. salam sehat salam damai,5
bagus,5
memuaskan pelayanan ya,5
Jelek,1
oke,5
layanan mengutamakan keselamatan,5
oke,5
good job,5
sangat baik,5
mantap 👍,5
cepat dan aman,5
👍👍👍👍👍,5
Cepat dan ramah,5
"cukup puas dengan pelayannya, terimakasih",5
Kalo order gofoood lama bgt prosesnya.. harus nunggu 1jm lebih baru tau itu toko buka apa ga..,1
"sangat2 membantu,terutama dgn ongkos yg ringan",5
"Mohon aplikasi penumpang dan pengemudi untuk di sediakan Live chat bersama CS bukan nya bot, agar bisa menjauhi yg tidak d ingin kan, semoga grab bisa menjadi yg lebih baik 👍",2
👍,4
"klik mau jadi mitra cleaning dll,kok suruh jadi klien,eror ya",1
supirnya ramah,5
Memuaskan,5
terimakasih grab SDH membantu perjalnan selamat sampai tujuan,5
dengan grab urusan jadi mudah,5
keren,5
Bagus sekali,5
mantab,5
Setelah update semakin ngaco!!!,1
terbaik,5
terima kasih,5
ontime,5
"Kurang pas dalam titik rumaah, sedangkan saya gak bisa gunakan map maklum nenek""",3
terima kasih sangat membantu,5
grap bikin gampang mau kmn jga sip lahh,5
ok,5
good,5
"Masa sekarang Qris udah ga bisa lagi, orang yang ga pegang cash susah jadinya. Mau ovo jga eror",1
Pemesanan nya cepat,5
terbaik,5
alhamdulillah cepat dan memudahkan,5
ok,5
"ko saya gak bsa masuk ke akun sya ya malah masuk ke email yang gak dipake di hp sya,,tolong dikonfirmasi ngirim otp ke nomor yg lama,,padahal yang sya pake nmr yang baru untuk emil nya",4
sangat membantu. verry help,5
Sumpah pake pembayaran ovo ribet grab gua harus tunggu 1 jam buat riset ulang password kalamaan woy,1
"Tarip mahal di banding ojol yg lain,kendaraan sering dapet motor tua",2
"Sedikit kecewa si, fitur pembayaran qris dihilangkan karena saya sendiri jarang menggunakan uang tunai dan pernah sesekali memakai uang tunai tapi driver terkendala dengan tidak bisa memberikan kembalian.karena saya sendiri yg masih malas menggunakan ovo, yg setiap top up harus dikenakan biaya admin 2000 terkhususnya pada saya yg top up melalui bank BSI.Tolong untuk dikembalikan lg fitur Qiris",2
Sangat baik,5
Sering error di mode pembayaran Tunai,1
Grab superapp,5
"Aneh bin ajaib, ga pernah make Grab unlimited mau gratis atau berbayar malah otomatis langganan, pantes ada saldo yang hilang tiba tiba",1
mantap,5
Sangat mebutukan,5
Baguss,5
terimakasih banyak,5
enak buat pesan,5
manstap,5
Mantap,5
Ini aplikasi yang sangat bagus Orang orang nya ramah semua dan selalu tepat waktu,5
amanah sekali,5
sangat membantu,5
ok,5
"beberapa tahun ini aku make grab terus karna banyak diskon buat berangkat sekolah, tapi akhir akhir ini mahal bamget sampe naik 2× lipat so sorry jadi harus berenti make grab :((",4
Untuk mudah perjalanan,5
Gunanya voucher gratis ongkir apa klo gabisa digunakan,1
solusinya saat butuh pengantaran,5
"Dari beberapa pengalaman saya menggunakan aplikasi ini, saya sering dapat pengalaman jelek mulai dari drivernya sampai pesan makan dimana saya sudah menunggu lama ternyata merchantnya tutup. Bye Grab",1
alhamdulilah ramah dan baik,5
👍,4
"Tolong dong dilatih driverx agar bisa sabar kt jg gkmau kali kasih jalan yg gk bener,kadang jg driver lbih sotau lalu marah2 dgn alasan alamat yg trtulis dilorong ini bla"" pdhl kan ikutin aja tu petunjuk tujuannya dia yg salah dia pula yg mara"",GK smua driver tpi semoga aja driver2 yg emosinal gini bisa dikurangin buat GK nyaman aja make apknya saya stiap hari naik grab,jdi GK nymn,udah BKN satu2 kali sy dpt driver bgini,ada yg tkut mobilx lecet pdhl lorong sy itu GK smpit""amat mbil jg hri"" lwat",1
Ok,1
"Dapet driver yang baik,,,aman dan cepat sampai tujuan",5
orangnya baik,5
bagus aja,5
baik 👍,5
Ada biaya admin nya anjjjjk,1
Mantap.,5
mantap,5
sangat membantu,5
"tiba dengan tepat waktu,, makasih bang ojol yg ramah",5
good,5
"Bagus sih tapi akun saya selalu kena tangguh teruus Sumpah jelek banget! Lagi pesen makan akun nya di tangguh kan, udah lama juga selalu gitu udah di laporkan masih tetep kaya gitu!!! Gak niat appa gimana hah?",1
Teruskan promonya tuan,5
mantap,5
ongkirnya mahal,5
"Drivernya tidak amanah dan jujur, masa ada kehilangan barang dia tiba2 pergi gitu aja",1
Kadang macet,4
bapak driver nya ramah banget,5
puas,5
sangat membantu..,5
Drivernya songong pada ga mau duit,1
"Order makanan atau jajanan,kue.",5
memuaskan,5
mudah diakses murah.... terimakasih,5
Itu lagi bincang ongkos grab nya.. Dan ini sudah berangkat supir grab nya mintak tambah ongkos 30rm di aplikasi 49rm jadi ini sudah berangkat ongkos 80rm terus saya kena denda keterlambatan lagi 3rm padahal saya sudah disini sedari awal.. Memang terkutuk ini aplikasi grab.. Cukup sampai dsini saja saya menggunakan ini aplikasi..,1
"kenapa sih ""coba metode pembayaran yang lain"", "" coba metode pembayaran yang lain"" mulu? kalo orang cuma bisa cash gimana? stop gak gitu mulu",4
Semoga bisa membntu Dan murah,5
"jelek banget akun ga bisa pake promo terus akun ditangguhkan terus,",1
"Bagus!! sangat membantu, tapi setiap mau pake aplikasinya sering log out sendiri sering banget suruh daftar lagi, tiba2 log out lagi, capek liatnya. Pas lagi dibutuhin banget pasti sering banget suruh verifikasi akun terus nggak cukup sekali sampe berkali2 bikin emosi aja.",3
Agak kecewa sama aplikasinya. Pesen grab car drivernya yg batalin pesanan kok kitanya yg suruh bayar denda. Hadehh.. Perbaiki lagi deh sistemnya,2
good semangattt terus,5
mantap pokoknya,5
Semoga grab tambah maju,5
Top Aplikasi Zaman Now...,5
baik,5
bagus,5
love grab,5
keeereennn,5
top,5
sangat bagus,5
mantap,5
Terimakasih Banyak Grab,5
great 👍,5
keren....banyak promo nya,5
Sangatembantu,5
ngobrolnya seru.,5
Bagus pengemudinya,5
Ada in lg pembayaran mode qris nya,2
membantu banget grab ini,5
the best,5
good cepat sampai,5
Wow,5
mahal dari yg lain,4
Sangat mudah sangat membantu,5
"Harus ada batas waktu driver ngambil orderan jangan seenaknya nya,orderan udah jadi hampir 1 jam gak ada yg ngambil sampai restoran tutup,di cancel tapi gak tau siapa yg ngancel udah gitu gak ada kompensasi orderan yg udah jadi trs di cancel,mau untung sendiri doang.",1
TERIMA KASIH,5
bagus...pengantarannya sesuai alamat....makasih,5
Untuk pengiriman lewat grab sameday sangat lama. Saya di apk sebelah inisial g jek hanya 1 jam. Lah ini hampir 2 jam. Ikan saya mati semua. Saya sangat kecewa. Kelamaan pemberhentian dijalan.,1
Ramah,1
sangat membantu perjalanan saya,5
pelayanan bagus dan ramah,5
sangat membantu di saat mau perpergihan tapi malas bawa kendaraan,5
sangat membantu dalam perjalanan,5
pokoknya jos bngt,5
Ok,5
sangat membantu,5
Ok,5
sangat bagus eeee,5
driver baik,5
"Map grab tidak akurat, saat saya grabfood drivernya sudah berada di titik lokasi sedangkan di map masih sangat jauh. Ini menjengkelkan karena saya orang yang ontime, tidak suka membuat orang lain menunggu ataupun menunggu. Ini sudah berlangsung seminggu, tolong diperbaiki segera. Saya akan memberikan bintang 5 jika sudah diurus.",1
"Kalau gak bisa kasih penilaian,gak usah kasih penilaian buruk ke Driver.Gua salah apa sama kamu?,malah dikasih penilaian yg buruk.Gua gak ada salah apa2,tau.",1
aplikasi grab sangat membantu,5
driver sabar,5
oke,5
Kenapa sekarang kalau mau pesan grab motor harus verifikasi wajah dahulu??,4
Siip,5
".sangat membantu.,",5
pelayanan memuaskan dan ramah membawakan barang.,5
baik,5
good,5
mantap,5
sering ga dapet promo & error apknya kalo sinyalnya sedikit Mahal bgt bjir. Orang orang daper promo potongan 9k. Akun gua samsek ga pernah dapet. Iyuh,1
"Metode pembayaran pakai ovo eror trs, Pdhl udh aktif, tp masih ngga bisa dipakai",2
Bagus,5
Ok,5
baik,5
Kenapa akun saya sering di tangguhkan padahal saya gak pernah punya masalah atau apapun,4
driver baik,5
grab sangat membantu saya dalam melakukan perjalan kemana saya pergi,5
"Coba tatar lagi itu pengemudi grabcar calya D 1787 VDL, berkendara ugal ugalan di jalan. Sudah diperingatkan malah makin melunjak",1
good job,5
"Sudah satu bulan saya dapat grab nya yang lama sekali persiapannya, saya pesen dari pukul 6:18 sudah dapat grab dari pukul 6:20 jaraknya tidak terlalu jauh hanya memakan waktu 2 menit saja, namun pelayanan berangkat nya itu lama sekali alasan pakai sepatu dulu lah, pakai jaket dulu lah ini lah itu lah sampai kami berangkat kurang lebih pada pukul 6:32 bru berangkat, niat pakai grab biar lebih cepat karna gamau terlambat malah sebaliknya, belum Kalau sore cuaca hujan HARGA GRAB NAIK 2 KALI LIPAT",3
"Sudah lama males pakai Grab. Biaya layanan grab sangat mahal. Mending pakai Gojek, Gofood,gomart, Shopee food. Grab banyak biaya terselubung, aplikasi makin lama makin KORUP",1
"ribet bgisi awalnya alamat posisi sdh jelas tdk bs dikonfirmasi, auto uinstal",3
👍👍👍👍👍,5
puas,5
ok,5
Gw mesen grab food GK Dateng2 taunya restorannya tutup padahal di aplikasi masih bukak,2
"Pesanan menu sahur tidak datang"" Sampe"" Saya tidak sahur",1
Layanan prioritas terlambat sampai 45menit,2
sangat membatu,5
Ok,5
Pelayanan ramah dan tepat waktu.,4
sangat membantu,5
cepat dan praktis aman terpercaya,5
sangat membantu,5
baguss,5
baik,5
"pake grab uda lamaaa, sering pesan grab bike,grab car,food, tiba tiba akun ditangguhkan padahal gapernah cancel ataupun aneh aneh, bikin akun baru lagi tetap ditangguhkan juga ANEH",1
"Ada beberapa yang mengganjal, Mohon benahi: 1.) Saya pesan GrabFood dengan ongkir agak mahal agar cepat sampai karena sudah di buru waktu.. Tapi endingnya terlambat dengan waktu ongkir yang paling murah.. Mohon Lebih profesional lagi apalagi grabfood adalah brand besar.. 2.) Tidak ada pilihan cancel di awal.. Justru harusnya jika masih awal itu waktu yang tepat untuk bisa Cancel. Semoga dibaca admin dan segera di perbaiki sistemnya.",5
good,5
perjalan nyaman,5
"sangat baik pelayanannya, ramah dan cepat",5
ramah,5
sangat puas aplikasi mudah di gunakan,5
Grabfoodnya ga bisa dibatalkan 😏😏,1
baik,5
good,5
Mantap,5
Lebih suka lagi kalau tetep bisa bayar pakai qris🤩🤩🤩,5
terbaik,5
top markotop..,5
selalu lama mencari pengemudi,1
"sangat membantu,apalagi saat mendadak",5
"Aku agak kesel ,tapi sekarang sering bngt di update malah banyak masalah timbul maaf ya ak kurangi bintangnya",5
"Drivernya gapada mau ambil order , udah males pake grab",1
"Kenapa error' Mulu udah pencet pesan disuruh ganti metode pembayaran Mulu padahal udah ganti metode pembayaran, benerin dong bug nya. Kalo uda dibenerin dikasih bintang 5",1
pokoknya grab mantap sekali,4
good job,5
"Dari pengalaman saya selama pake jasa grabcar, sering banget beberapa driver grabcar TIBA² CANCEL TANPA KONFIRMASI, dilihat di maps nya jalan ke arah titik jemput tp ternyata DITERABAS TERUS SAMPE JAUH DARI TITIK LOKASI PENJEMPUTAN dan TIDAK RESPON KETIKA DIHUBUNGI. Jujur sebagai customer kecewa ya dengan beberapa oknum driver yang seperti itu karena bikin rugi waktu saya.",1
good,5
banyak bug,1
ga jelas,1
"ngga sesuai lokasi kalo pesen apa"" kalo serlok lewat wa ngga bisa",3
"Mengirim chat pending trus, sampe pake wifi trs diganti data seluler tetep aja pending",3
layanan prima,5
Ini gmn sih saya pesen makanan tapi pengemudi malah GK mau ngejemput pesenan saya mana nyari pengemudi lain nya lama Saya kasih reting rendah karna pelayanan nya sangat lambat,2
memang memuaskan,5
sangat baik banget ramah dan nyaman,5
nyaman,5
"Pesen grabfood Nunggu 1 jam, tiba tiba berubah terus hampir nyampe 2 jam. Melesetnya jauh ya. Sangat tidak akurat. Lanjutkan sampe melenceng 3 jam atau lebih yaa 👍",1
mantapp,5
"Aplikasi yang driver nya banyak nggak jelas, ditungguin lama banget nggak gerak2, terus nggak ada respon sama sekali, selain itu setiap kali cancel dan coba order lagi, pasti dapat driver yang sama, bikin kesal dan tidak berguna. Selain itu map nya juga nggak bisa nemu kan tempat yang ada di google. Ini juga sekarang nggak bisa zoom map, nggak jelas. Aplikasi bodoh! Selain itu, saya pernah pesan makanan, telat sampai 1 jam, tidak bisa dibatalkan, makanan dingin, saya telat makan, layanan ap ini",1
"Lambat, driver tidak da yg terima",1
tidak disarankan menggunakan aplikasi ini,1
baik,3
aplikasi mantap,5
tambah mantap info disc nya jangan lupa jaga pelayanan sukses trs Grab,5
"Untuk pihak grab khususnya grabfood, saya selalu bayar dengar harga normal kenapa saya selalu dapet driver yang pengantaran double order ke tempat lain, itu jadi memakan waktu yang cukup lama cukup kecewa dan tidak akan memakainya grab untuk depannya!",1
good,5
aplikasi ribet cari driver susah,2
"udah nungguin makanan lebih dari 1 jam tapi belum dapet driver, tolonglah grab untuk lebih tegas pada driver agar ga kejadian kayak gini, harusnya ada solusi untuk hal ini agar pelanggan ga kecewa",1
puas,5
"MESEN GK DAPET-DAPET PADAHAL MAU NGANTER OBAT,KECEWA SAYA",1
memuas kan . terima kasih,5
Payahh grabnya ga bisa dipake Padhal ga pernah cancel Makana dl bahkan rating ke driver selalu bintang 5 Payah grab,1
cepat dan masih hangattt,5
ramah baik tepat waktu,5
sangat fast respon,5
"Map kagak jelas, driver suka cancel",2
pengemudinya Baek bgtt,5
Aplikasi ny jadi lemot pdhl udah lama punya aplikasi grab udah di update pula pake wifi jgtp ko lemot minta perbaikan ny y,5
sangat bagus,5
orangnya ramah saya sangat senang selama perjalanan,5
mantap,5
👍,5
baik,5
Mantul bgt,5
tiap mau di pake minta upgrade terus lama lagi.,4
Sangat membantu,5
mantap,5
good,5
baik,5
dengan greb waktu mudah teratasi apa lagi kalau terus ada promo nta 😘🙏🙏,5
sangat bagus cepat dan tepat waktu pelayanan ramah dan bayarnya gampang bisa lewat m-baking,5
Ini knapa akun saya tiba² ditangguhkan gajelass bangettt,4
bagus,5
"Mapnya ngaco, bikin drivernya salah antar ke lain kelurahan",5
mantap,5
Kecewa banget sama aplikasi grabnya padahal tadi mau saya batalkan pesanannya karna kepencet tapi gak bisa dibatalkan tolong dong diperbaiki lagi kasihan kalau salah pencet iya kalau orangnya ada uang kalau gak ada uang kasihan mau cari kemn uang segitu banyaknya🙏,2
sangat membantu aktipitas,5
Buruk mahal,2
okay,5
ramah orangnya,5
driver nya baik,5
Baik,5
Kenapa setiap buka notif grab malah ngebuka aplikasi chrome,1
mantap,5
sangat suka sekali,4
Kadang lokasi driver sama kenyataannya malah beda kenapa yah ?,5
makasih buat mbak nya...,5
utuk saat ini aman ga ada kendala dalam pemesana,5
Rama dan aman,5
mbil nya nyaman,5
"Tolong utk Grab, kasih SOP ke driver: jangan tanya hal pribadi customer. Kdg, kl customer lagi capek, daya pertahannya berkurang, jadinya kl jawab terlalu jujur, ini bs membahyakan.",4
Aga laen nih aplikasi jalur deket ada nyari nya yang jauh otomatis argo naik lah kocak,2
sangat baik,5
terbaik,5
Pesanan gak bisa dibatalkan,1
mantap,5
sangat bagus,5
sangat ramah,5
terbaik,5
Bagus,5
Driver selalu dirugikan,1
"Saran : Untuk pembayaran tunai ditiadakan saja agar driver tidak jadi korban orderan fiktik, sehingga pelayanan grab semakin keren dan kedua belah pihak tidak dirugikan. Terimakasih.",5
mantap enggak kaya ojol sebelah,5
lumayan,4
bagus,5
bagus & membantu,5
cepat Dan Tepat,5
Please adain pembayaran lewat qris lagiii🥲,4
Baru pakai 2x Grab Alhamdulillah bagus cepat melayani terimakasih.,5
"Buruk bgt sy anggota VIP mesen makan driver marah kenapa resto tutup tapi sy nemu resto nya di grab,OVO sy ditarik driver padahal makanan tidak ada dan sy mencoba mencari nomer call center tidak ada yg bisa dihubungi..nyesel bgt pakai grab ribet dan tidak ada yg bisa membantu",1
Sangat puas dgn pelayanan .,5
good,5
nyaman,5
terus tingkatkan kualitas pelayanan,5
good,5
sangat membantu,4
sangat ramai sekali,5
mantap,5
mantap..,5
terimakasih,5
"harga makanan grabfood sudah naik 30% daripada beli langsung, dan di tambah lagi harus ada pajak 10%... jadi kalau di total naik 40%... malah enak beli langsung...",1
Cepat nyampe,5
No no,5
"driver tanggung jawab penuh,",5
ok,5
Sangat bagus dan mudah,5
bagus,5
Grab oke. melangkah bersama grab.,5
puas,5
"Makanannya dan ongkirnya terlalu mahal, tolong di murahkan antara Makanannya atau ongkirnya, terimakasih",2
Driver Oke,4
Saat topup ovo di kenakan biaya setelah masuk di saldo ovo terpotong hingga 2000 sangat tidak rekomendasi untuk top up,1
grab sekarang lebih hemat dan ramah,5
seneng sekali dengan bpak ojol ini,5
bagus,5
baik sopan ramah,5
Membantu sekali di saat butuh pengantaran yang cepat,5
"Nunggu 2 jam ga dapet2 driver,cepetan gojek",1
Baguss,4
sangat puas,5
Coba dulu kalaw cocok bagus saya lajut,5
Setiap order driver tidak bergerak dari tempatnya. Sengaja biar konsumen yg cancel. Sangat tdk profesional pdhl kita order bukan yg hemat,1
"Semoga grabfood hemat, bisa sekaligus 1 orderan utk resto yg sama , biar ga nunggu""an driver 1 udh sampe yg lain blm 🤣",2
Baik,5
bagus,5
mantap,5
sangat membantu,5
sangat memudah kan,5
bagus,5
Pabrik saya tidak ada dimap. Apk cacat gaji saya dipotong gara2 ini. STOP PAKAI APK INI,1
baik,5
sangat nyaman,5
The best👍👍,5
sangat memuaskan dan membantu,5
bagus,5
tepat waktu joss,4
recomended,5
okeoke,5
bagus,5
"kepada pihak grab,cuba disetel map kalian ya,tambah susah map nya,kenapa kalian tambah maju tambah buat susah orang guna apk ni,saya kecewa dengan grab,tambah lagi ongkos dah tak masuk logika lagi,apa you punya company dah mulai lokek atau dah mulai bengkrab atau apa?",5
lancar dan aman,5
nyaman,5
biar bintang yg menjelaskan,5
good,5
ga nunggu lama,5
Mantap cepat👍sangat Membantu banget pelayanan nya asyik,5
"driver enak, tahu jalan pintas",5
Kenapa ketika order melalui share lokasi wattsap penampilan berubah seperti map. Tolong di kembalikan seperti biasanya,3
good,5
ramah,5
good,5
sangatlah nyaman,5
ok,5
drivernya baik,5
nyebelin banget driver jemput lama bangetttttg,1
emmmmm baggussss,5
trima kasih pelayan sopan dan sangat membantu sekali 🙏🙏🙏 semoga rejekinya lancar,5
susah buat login dan server gagal terus,1
Jika pesan food pasti lama dan ongkos kirimnya mahal,1
matap cepat kirim nya,5
ok,5
mantap tingkatkan lgi peformanya biar kita makin semakin puas,5
peyanan bagus..orang ramah...pokoknya mantap,5
mantap,5
tepat waktu sblm buka puasa,5
terbaik,4
sangat bagus,5
ramah dan baik,5
"Grab ini aneh promonya, semakin sering dipake/digunakan apknya, promonya semakin sedikit bahkan ga dikasih promo ckck",1
respon cepat,5
ok,5
Good,5
Ok,4
good,5
sangat baguss grab ini,5
mantap oc,5
ok,5
supirnya ramah,5
"Tolong pihak grab untuk menindak driver akun wanita tapi yang datang pria, saya merasa di bohongi karena tidak sesuai dengan driver nya",1
bagus,5
keren,5
sangat membantu,5
"mantab , responsif",5
gk bisaa dapat payleter,1
Dikit2 update. Tp lemot banget,2
ok dah,5
terima kasih sudah menjemput sampai tujuan,5
sangat baik,5
ok,5
"sangat membantu dalam situasi apapun,gercep",5
Bagus,5
Sangat berguna tapi sering kali bug,5
sangat membantu dan ramah pelayananya...,5
gak jelas tiba tiba mau ovo pin padahal dulu GK pake ovo pin ini gimana,1
bagus..nyaman,5
sangat membantu,5
good,4
terima kasih slmt smpai tujuan,2
lumayan keren,5
Pelayanan sangat bagus,5
cepat,5
good,5
Grab kok saldo ovo paylater sya jadi 0 padahal Bru di pke 18rbu sisanya kok ilang,1
Is the best,5
"ga tau yah akhir"" ini sering ngebug bahkan kemaren akunku sempet ke ban dengan alasan yg ga jelas...bahkan sempet ganti akun dan tetap gak bisa pesan apapun...metode pembayaran qris juga hilang,,,,haduh"" kecewa saya padahal saya pelanggan setia yg setiap hari pake grab looo,,,tolong respon admin",1
baik sekali,5
"Tolong untuk developer tolong himbau ke penjual/warung/rumah makan untuk menutup tokonya di aplikasi juga kalau tutup, karna sering saya memesan makanan padahal di aplikasi penjualnya buka setelah ojol nya ke penjual ternyata toko nya tutup... dan di bulan puasa banyak di aplikasi penjual nya buka padahal sedang tutup Tolong perbaiki",1
Terbaik,5
gesit irit,5
mantap,5
ok,5
sangat baik,5
baik dan cepat,5
sippp,5
mantap,5
keren dan sangat memudahkan dalam berpergian banyakin lagi promonya ya 🤗🤗,5
Sangat baik,5
ok,5
"Banyak pengumdi grab skrng gak sopan sama penumpang,gak semua penumpang itu gak punya mobil",1
"tiba tiba ga bisa bayar tunai ,katanya ada riwayat bayar kurang sama kurir pas mau coba pulihka ribet amat pake ngisi riwayat pesanan ,kalo diribetin gini jadi males pake grab !!! padahal saya suka kasi lebih kalo ada kembalian",1
pengemudi sangat membantu sekali,5
bagus banget supir ramah,5
cepat datang nya,5
orangnya ramah pokoknya the best,5
Ga bisa menyelesaikan masalah ngajuin pembatalan susah banget ga ada solusi menyebabkan dana melayang gitu aja. Aplikasi ga profesional,1
Saat bagus,5
SANGAT MEMBANTUUU UNTUK AKU PERGI KEMANA MANA WKWKWK,5
mantaf,5
Good,5
sangat puas,5
aplikasi grab sangat membantu untuk perjalanan kita,5
"semenjak ada sistem verifikasi jadi ribet nih apk, ga pake ini lagi dah",2
makasih grab,5
selalu berikan yg terbaik,5
Restoran is the best,5
ok,5
"Cukup membantu, semangat ngembangin aplikasinya Semoga Perusahaan, driver, Dan penumpang sama2 enak dan diuntungkan, lancar barokah tidak ada yg merasa RUGI aamiin ya Allah aamiin",5
Heh developer ini lagi puasa jangan buat gw marah padahal dulu waktu sebelum update itu lancar sekarang jauh perbedaannya dengerin ulasanku nih jadi setiap aku main apk lain itu ada iklan Garb grab grab? Kenapa!? Nah nih baru aja di bilang langsung iklan! Maksud lu apa hah kalo mau bisnis lu laku ya kembangin! Kasih iklan tuh boleh tapi gak setiap apk pasti ada lu sekarang udh gw hps apk lu!!,1
top,5
bagus sekali pelayanan nya 🙏🙏🙏,5
Bagus,1
bagus,5
bagi driver yg gk niat mending berhenti aja dech,1
mantap,1
Kenapa aplikasi grabnya gabisa dipake si,5
good,5
"pesan grabfood dengan lokasi resto ga jauh dari rumah, hanya 7 menit pakai motor ..tapi pesan di grabfood bisa lebih dari 45 menit ..padahal pesan di jam 11 malam ..orderan tidak ramai ..dan restonya buka 24 jam ..kalau layanan pesan makanan bukannya mempersingkat malah memperlambat lalu apa gunanya ?? sudahlah ongkirnya mahal ..hampir sama dgn harga makanannya ..tapi layanan buruk ..parah grab 👎🏻",1
minta di batalin pesanan goofood susah bener udah di bilang salah pesen kaga ada bantuan sama sekali sampan,1
Bagus,5
mantap,5
"mas grabnya tolak pembayaran qris, bikin repot kalo g ada cash",1
tepat waktu dan amanah,5
Ok,5
Bagus banget grab nya juga ramah,5
👍🏼,5
mas nya sangat baik' makasih ya mas atas ke ikhlasan nya walo jauh mas mau hantar,5
